Warning: no access to tty (Bad file descriptor).
Thus no job control in this shell.
------------------------------------------------------------------
 #bytes     #iterations    BW peak[MB/sec]    BW average[MB/sec]
 2          1000           1.05               0.76   
 4          1000           4.19               1.54   
 8          1000           4.19               3.10   
 16         1000           8.39               6.09   
 32         1000           inf                12.04  
 64         1000           inf                23.48  
 128        1000           44.74              33.47  
 256        1000           268.44             64.57  
 512        1000           178.96             122.55 
 1024       1000           268.44             217.30 
 2048       1000           505.29             356.27 
 4096       1000           687.19             621.36 
 8192       1000           1041.20            955.95 
 16384      1000           1462.12            1297.65
 32768      1000           2181.57            1883.65
 65536      1000           2521.82            2439.98
 131072     1000           2924.23            2833.05
 262144     1000           3123.61            3085.83
 524288     1000           3257.81            3228.79
 1048576    1000           3329.33            3306.86
 2097152    1000           3361.14            3346.33
 4194304    1000           3374.68            3366.88
 8388608    1000           3377.27            3365.19
